Prise en compte;Code INSEE Commune Nouvelle;Nom Commune Nouvelle Siège;Code INSEE Commune Déléguée (non actif);Nom Commune Déléguée;Adresse 2016 - Code INSEE;Adresse 2016 - L6 Code Postal;Adresse 2016 - L6 Libellé Acheminement;Adresse 2016 - Ligne 5 Commune déléguée;Adresse 2016 - Code INSEE associé à la L5;Adresse 2015 - Code INSEE;Adresse 2015 - L6 Code Postal;Adresse 2015 - Libellé Acheminement;Adresse 2015 - L5;Adresse 2015 - Code INSEE Associé à la L5
DÉCEMBRE 2016;22158;Guerlédan;22158;Mûr-de-Bretagne;;;GUERLEDAN;MUR DE BRETAGNE;;;;MUR DE BRETAGNE;;
FÉVRIER 2016;22203;Ploeuc-L'Hermitage;22203;Plœuc-sur-Lié;;;PLOEUC L HERMITAGE;PLOEUC SUR LIE;;;;PLOEUC SUR LIE;;
DÉCEMBRE 2018;22206;Châtelaudren-Plouagat;22038;Châtelaudren;;;CHATELAUDREN PLOUAGAT;CHATELAUDREN;;;;CHATELAUDREN;;
DÉCEMBRE 2016;22209;Beaussais-sur-Mer;22209;Ploubalay;;;BEAUSSAIS SUR MER;PLOUBALAY;;;;PLOUBALAY;;
JUILLET 2019;23189;Saint-Dizier-Masbaraud;23126;Masbaraud-Mérignat;;;ST DIZIER MASBARAUD;MASBARAUD MERIGNAT;;;;MASBARAUD MERIGNAT;;
DÉCEMBRE 2016;23192;Fursac;23192;Saint-Étienne-de-Fursac;;;FURSAC;ST ETIENNE DE FURSAC;;;;ST ETIENNE DE FURSAC;;
DÉCEMBRE 2016;23192;Fursac;23231;Saint-Pierre-de-Fursac;;;FURSAC;ST PIERRE DE FURSAC;;;;ST PIERRE DE FURSAC;;
DÉCEMBRE 2016;24026;Bassillac et Auberoche;24270;Milhac-d'Auberoche;;;BASSILLAC ET AUBEROCHE;MILHAC D AUBEROCHE;;;;MILHAC D AUBEROCHE;;
FÉVRIER 2016;24028;Beaumontois en Périgord;24310;Nojals-et-Clotte;;;BEAUMONTOIS EN PERIGORD;NOJALS ET CLOTTE;;;;NOJALS ET CLOTTE;;
DÉCEMBRE 2016;24053;Boulazac Isle Manoire;24053;Boulazac Isle Manoire;;;BOULAZAC ISLE MANOIRE;ST LAURENT SUR MANOIRE;;;;BOULAZAC ISLE MANOIRE;ST LAURENT SUR MANOIRE;
FÉVRIER 2016;24064;Brantôme en Périgord *;24064;Brantôme;;;BRANTOME EN PERIGORD;BRANTOME;;;;BRANTOME;;
DÉCEMBRE 2018;24064;Brantôme en Périgord;24561;Valeuil;;;BRANTOME EN PERIGORD;VALEUIL;;;;VALEUIL;;
DÉCEMBRE 2018;24064;Brantôme en Périgord;24064;Brantôme en Périgord;;;BRANTOME EN PERIGORD;BRANTOME;;;;BRANTOME EN PERIGORD;BRANTOME;
DÉCEMBRE 2018;24064;Brantôme en Périgord;24079;Cantillac;;;BRANTOME EN PERIGORD;CANTILLAC;;;;CANTILLAC;;
DÉCEMBRE 2018;24064;Brantôme en Périgord;24530;Sencenac-Puy-de-Fourche;;;BRANTOME EN PERIGORD;SENCENAC PUY DE FOURCHES;;;;SENCENAC PUY DE FOURCHES;;
DÉCEMBRE 2018;24172;Eyzies (Les);24172;Eyzies-de-Tayac-Sireuil (Les);;;LES EYZIES;SIREUIL;;;;LES EYZIES DE TAYAC SIREUIL;SIREUIL;
OCTOBRE 2017;24216;Jemaye-Ponteyraud (La);24216;La Jemaye;;;LA JEMAYE PONTEYRAUD;LA JEMAYE;;;;LA JEMAYE;;
OCTOBRE 2017;24216;Jemaye-Ponteyraud (La);24333;Ponteyraud;;;LA JEMAYE PONTEYRAUD;PONTEYRAUD;;;;PONTEYRAUD;;
DÉCEMBRE 2016;24253;Mareuil en Périgord;24235;Léguillac-de-Cercles;;;MAREUIL EN PERIGORD;LEGUILLAC DE CERCLES;;;;LEGUILLAC DE CERCLES;;
DÉCEMBRE 2016;24253;Mareuil en Périgord;24579;Vieux-Mareuil;;;MAREUIL EN PERIGORD;VIEUX MAREUIL;;;;VIEUX MAREUIL;;
DÉCEMBRE 2018;24259;Eyraud-Crempse-Maurens;24259;Maurens;;;EYRAUD CREMPSE MAURENS;MAURENS;;;;MAURENS;;
DÉCEMBRE 2016;24362;Val de Louyre et Caudeau;24362;Sainte-Alvère-Saint-Laurent Les Bâtons;;;VAL DE LOUYRE ET CAUDEAU;STE ALVERE ST LAURENT LES BATONS;;;;STE ALVERE ST LAURENT LES BATONS;;
DÉCEMBRE 2016;24490;Saint Privat en Périgord;24178;Festalemps;;;ST PRIVAT EN PERIGORD;FESTALEMPS;;;;FESTALEMPS;;
DÉCEMBRE 2016;24490;Saint Privat en Périgord;24490;Saint-Privat-des-Prés;;;ST PRIVAT EN PERIGORD;ST PRIVAT DES PRES;;;;ST PRIVAT DES PRES;;
FÉVRIER 2016;24540;Sorges et Ligueux en Périgord;24540;Sorges;;;SORGES ET LIGUEUX EN PERIGORD;SORGES;;;;SORGES;;
DÉCEMBRE 2017;25078;Bouclans;25078;Bouclans;;;BOUCLANS;;;;;BOUCLANS;;
DÉCEMBRE 2017;25078;Bouclans;25587;Vauchamps;;;BOUCLANS;VAUCHAMPS;;;;VAUCHAMPS;;
DÉCEMBRE 2016;25147;Chemaudin et Vaux;25147;Chemaudin;;;CHEMAUDIN ET VAUX;CHEMAUDIN;;;;CHEMAUDIN;;
DÉCEMBRE 2016;25156;Pays de Clerval *;25156;Clerval;;;PAYS DE CLERVAL;CLERVAL;;;;CLERVAL;;
JUILLET 2019;25156;Pays-de-Clerval;25156;Pays-de-Clerval;;;PAYS DE CLERVAL;SANTOCHE;;;;PAYS DE CLERVAL;SANTOCHE;
DÉCEMBRE 2016;25424;Premiers Sapins (Les);25128;Chasnans;;;LES PREMIERS SAPINS;CHASNANS;;;;CHASNANS;;
DÉCEMBRE 2016;25424;Premiers Sapins (Les);25302;Hautepierre-le-Châtelet;;;LES PREMIERS SAPINS;HAUTEPIERRE LE CHATELET;;;;HAUTEPIERRE LE CHATELET;;
DÉCEMBRE 2016;25460;Val (Le);25460;Pointvillers;;;LE VAL;POINTVILLERS;;;;POINTVILLERS;;
DÉCEMBRE 2018;25558;Tarcenay-Foucherans;25250;Foucherans;;;TARCENAY FOUCHERANS;FOUCHERANS;;;;FOUCHERANS;;
JUILLET 2016;25575;Vaire;25575;Vaire-Arcier;;;VAIRE;VAIRE ARCIER;;;;VAIRE ARCIER;;
FÉVRIER 2016;27011;Amfreville-Saint-Amand;27011;Amfreville-la-Campagne;;;AMFREVILLE ST AMAND;AMFREVILLE LA CAMPAGNE;;;;AMFREVILLE LA CAMPAGNE;;
MARS 2016;27049;Mesnil-en-Ouche;27596;Saint-Pierre-du-Mesnil;;;MESNIL EN OUCHE;ST PIERRE DU MESNIL;;;;ST PIERRE DU MESNIL;;
MARS 2016;27049;Mesnil-en-Ouche;27628;Thevray;;;MESNIL EN OUCHE;THEVRAY;;;;THEVRAY;;
JUILLET 2019;27070;Frenelles-en-Vexin;27070;Boisemont;;;FRENELLES EN VEXIN;BOISEMONT;;;;BOISEMONT;;
DÉCEMBRE 2016;27089;Thénouville *;27089;Bosc-Renoult-en-Roumois;;;THENOUVILLE;BOSC RENOULT EN ROUMOIS;;;;BOSC RENOULT EN ROUMOIS;;
DÉCEMBRE 2016;27105;Grand Bourgtheroulde;27105;Bourgtheroulde-Infreville;;;GRAND BOURGTHEROULDE;BOSCHERVILLE;;;;BOURGTHEROULDE INFREVILLE;BOSCHERVILLE;
DÉCEMBRE 2016;27105;Grand Bourgtheroulde;27105;Bourgtheroulde-Infreville;;;GRAND BOURGTHEROULDE;INFREVILLE;;;;BOURGTHEROULDE INFREVILLE;INFREVILLE;
DÉCEMBRE 2016;27105;Grand Bourgtheroulde;27105;Bourgtheroulde-Infreville;;;GRAND BOURGTHEROULDE;BOURGTHEROULDE INFREVILLE;;;;BOURGTHEROULDE INFREVILLE;;
FÉVRIER 2016;27112;Breteuil;27305;Guéroulde (La);;;BRETEUIL;LA GUEROULDE;;;;LA GUEROULDE;;
DÉCEMBRE 2016;27157;Marbois;27145;Chanteloup;;;MARBOIS;CHANTELOUP;;;;CHANTELOUP;;
DÉCEMBRE 2016;27198;Mesnils-sur-Iton *;27166;Condé-sur-Iton;;;MESNILS SUR ITON;CONDE SUR ITON;;;;CONDE SUR ITON;;
DÉCEMBRE 2016;27198;Mesnils-sur-Iton *;27293;Gouville;;;MESNILS SUR ITON;GOUVILLE;;;;GOUVILLE;;
DÉCEMBRE 2016;27198;Mesnils-sur-Iton *;27503;Sacq (Le);;;MESNILS SUR ITON;LE SACQ;;;;LE SACQ;;
OCTOBRE 2019;27198;Mesnils-sur-Iton;27198;Mesnils-sur-Iton;;;MESNILS SUR ITON;LE RONCENAY;;;;MESNILS SUR ITON;LE RONCENAY;
OCTOBRE 2019;27198;Mesnils-sur-Iton;27416;Buis-sur-Damville;;;MESNILS SUR ITON;BUIS SUR DAMVILLE;;;;BUIS SUR DAMVILLE;;
DÉCEMBRE 2016;27213;Vexin-sur-Epte;27128;Cantiers;;;VEXIN SUR EPTE;CANTIERS;;;;CANTIERS;;
DÉCEMBRE 2016;27213;Vexin-sur-Epte;27197;Dampsmesnil;;;VEXIN SUR EPTE;DAMPSMESNIL;;;;DAMPSMESNIL;;
DÉCEMBRE 2016;27213;Vexin-sur-Epte;27653;Tourny;;;VEXIN SUR EPTE;TOURNY;;;;TOURNY;;
DÉCEMBRE 2017;27290;Goupil-Othon;27642;Tilleul-Othon (Le);;;GOUPIL OTHON;LE TILLEUL OTHON;;;;LE TILLEUL OTHON;;
FÉVRIER 2016;27302;Bosc du Theil (Le);27302;Gros-Theil (Le);;;LE BOSC DU THEIL;LE GROS THEIL;;;;LE GROS THEIL;;
OCTOBRE 2017;27412;Terres de Bord;27648;Tostes;;;TERRES DE BORD;TOSTES;;;;TOSTES;;
DÉCEMBRE 2016;27425;Nassandres sur Risle;27131;Carsix;;;NASSANDRES SUR RISLE;CARSIX;;;;CARSIX;;
DÉCEMBRE 2017;27447;Val-Doré (Le);27268;Fresne (Le);;;LE VAL DORE;LE FRESNE;;;;LE FRESNE;;
DÉCEMBRE 2016;27448;Pacy-sur-Eure;27448;Pacy-sur-Eure;;;PACY SUR EURE;;;;;PACY SUR EURE;;
DÉCEMBRE 2016;27448;Pacy-sur-Eure;27510;Saint-Aquilin-de-Pacy;;;PACY SUR EURE;ST AQUILIN DE PACY;;;;ST AQUILIN DE PACY;;
OCTOBRE 2018;27467;Pont-Audemer;27467;Pont-Audemer;;;PONT AUDEMER;ST PAUL SUR RISLE;;;;PONT AUDEMER;ST PAUL SUR RISLE;
OCTOBRE 2018;27467;Pont-Audemer;27467;Pont-Audemer;;;PONT AUDEMER;;;;;PONT AUDEMER;;
DÉCEMBRE 2018;27541;Le Mesnil-Saint-Jean;27551;Saint-Jean-de-la-Léqueraye;;;LE MESNIL ST JEAN;ST JEAN DE LA LEQUERAYE;;;;ST JEAN DE LA LEQUERAYE;;
DÉCEMBRE 2016;27565;Lesme (Le);27303;Guernanville;;;LE LESME;GUERNANVILLE;;;;GUERNANVILLE;;
DÉCEMBRE 2016;27565;Lesme (Le);27565;Sainte-Marguerite-de-l'Autel;;;LE LESME;STE MARGUERITE DE L AUTEL;;;;STE MARGUERITE DE L AUTEL;;
DÉCEMBRE 2016;27578;Sainte-Marie-d'Attez;27573;Saint-Nicolas-d'Attez;;;STE MARIE D ATTEZ;ST NICOLAS D ATTEZ;;;;ST NICOLAS D ATTEZ;;
DÉCEMBRE 2016;27578;Sainte-Marie-d'Attez;27578;Saint-Ouen-d'Attez;;;STE MARIE D ATTEZ;ST OUEN D ATTEZ;;;;ST OUEN D ATTEZ;;
FÉVRIER 2016;27638;Thuit de l'Oison (Le);27638;Thuit-Signol (Le);;;LE THUIT DE L OISON;LE THUIT SIGNOL;;;;LE THUIT SIGNOL;;
FÉVRIER 2016;27638;Thuit de l'Oison (Le);27639;Thuit-Simer (Le);;;LE THUIT DE L OISON;LE THUIT SIMER;;;;LE THUIT SIMER;;
DÉCEMBRE 2016;27676;Trois Lacs (Les);27676;Venables;;;LES TROIS LACS;VENABLES;;;;VENABLES;;
FÉVRIER 2016;28015;Auneau-Bleury-Saint-Symphorien;28361;Bleury-Saint-Symphorien;;;AUNEAU BLEURY ST SYMPHORIEN;BLEURY;;;;BLEURY ST SYMPHORIEN;BLEURY;
DÉCEMBRE 2016;28103;Cloyes-les-Trois-Rivières;28133;Douy;;;CLOYES LES TROIS RIVIERES;DOUY;;;;DOUY;;
DÉCEMBRE 2016;28103;Cloyes-les-Trois-Rivières;28340;Saint-Hilaire-sur-Yerre;;;CLOYES LES TROIS RIVIERES;ST HILAIRE SUR YERRE;;;;ST HILAIRE SUR YERRE;;
DÉCEMBRE 2017;28127;Dangeau;28127;Dangeau;;;DANGEAU;;;;;DANGEAU;;
DÉCEMBRE 2017;28127;Dangeau;28250;Mézières-au-Perche;;;DANGEAU;MEZIERES AU PERCHE;;;;MEZIEREZ AU PERCHE;;
JUILLET 2019;28199;Janville-en-Beauce;28199;Janville;;;JANVILLE EN BEAUCE;JANVILLE;;;;JANVILLE;;
DÉCEMBRE 2018;28236;Arcisses;28063;Brunelles;;;ARCISSES;BRUNELLES;;;;BRUNELLES;;
JUILLET 2019;28331;Saintigny;28165;Frétigny;;;SAINTIGNY;FRETIGNY;;;;FRETIGNY;;
DÉCEMBRE 2018;28334;Saint-Denis-Lanneray;28205;Lanneray;;;ST DENIS LANNERAY;LANNERAY;;;;LANNERAY;;
FÉVRIER 2016;28383;Theuville;28297;Pézy;;;THEUVILLE;PEZY;;;;PEZY;;
DÉCEMBRE 2018;28406;Eole-en-Beauce;28406;Eole-en-Beauce;;;EOLE EN BEAUCE;FAINS LA FOLIE;;;;EOLE EN BEAUCE;FAINS LA FOLIE;
DÉCEMBRE 2018;28406;Eole-en-Beauce;28406;Eole-en-Beauce;;;EOLE EN BEAUCE;VIABON;;;;EOLE EN BEAUCE;VIABON;
DÉCEMBRE 2018;29199;Plouigneau;29219;Le Ponthou;;;PLOUIGNEAU;LE PONTHOU;;;;LE PONTHOU;;
OCTOBRE 2017;31412;Péguilhan;31412;Péguilhan;;;PEGUILHAN;;;;;PEGUILHAN;;
DÉCEMBRE 2018;33380;Val-de-Livenne;33267;Marcillac;;;VAL DE LIVENNE;MARCILLAC;;;;MARCILLAC;;
DÉCEMBRE 2018;35004;Val-Couesnon;35004;Antrain;;;VAL COUESNON;ANTRAIN;;;;ANTRAIN;;
DÉCEMBRE 2018;35004;Val-Couesnon;35113;Fontenelle (La);;;VAL COUESNON;LA FONTENELLE;;;;LA FONTENELLE;;
DÉCEMBRE 2018;35004;Val-Couesnon;35303;Saint-Ouen-la-Rouërie;;;VAL COUESNON;ST OUEN  LA ROUERIE;;;;ST OUEN  LA ROUERIE;;
DÉCEMBRE 2016;35168;Val d'Anast;35048;Campel;;;VAL D ANAST;CAMPEL;;;;CAMPEL;;
JANVIER 2016;35176;Guipry-Messac;35176;Messac;;;GUIPRY MESSAC;MESSAC;;;;MESSAC;;
OCTOBRE 2019;35184;Montauban-de-Bretagne;35184;Montauban-de-Bretagne;;;MONTAUBAN DE BRETAGNE;;;;;MONTAUBAN DE BRETAGNE;;
DÉCEMBRE 2016;35257;Maen Roch;35267;Saint-Étienne-en-Coglès;;;MAEN ROCH;ST ETIENNE EN COGLES;;;;ST ETIENNE EN COGLES;;
DÉCEMBRE 2018;35282;Rives-du-Couesnon;35293;Saint-Marc-sur-Couesnon;;;RIVES DU COUESNON;ST MARC SUR COUESNON;;;;ST MARC SUR COUESNON;;
OCTOBRE 2019;35308;Mesnil-Roc'h;35344;Tressé;;;MESNIL ROC H;TRESSE;;;;TRESSE;;
DÉCEMBRE 2018;36093;Levroux;36093;Levroux;;;LEVROUX;ST MARTIN DE LAMPS;;;;LEVROUX;ST MARTIN DE LAMPS;
DÉCEMBRE 2016;36229;Val-Fouzon;36151;Parpeçay;;;VAL FOUZON;PARPECAY;;;;PARPECAY;;
DÉCEMBRE 2016;36229;Val-Fouzon;36229;Varennes-sur-Fouzon;;;VAL FOUZON;VARENNES SUR FOUZON;;;;VARENNES SUR FOUZON;;
OCTOBRE 2019;36244;Villentrois-Faverolles-en-Berry;36244;Villentrois;;;VILLENTROIS FAVEROLLES EN BERRY;VILLENTROIS;;;;VILLENTROIS;;
DÉCEMBRE 2016;37232;Côteaux-sur-Loire;37120;Ingrandes-de-Touraine;;;COTEAUX SUR LOIRE;INGRANDES DE TOURAINE;;;;INGRANDES DE TOURAINE;;
DÉCEMBRE 2017;37254;Tauxigny-Saint-Bauld;37209;Saint-Bauld;;;TAUXIGNY SAINT BAULD;ST BAULD;;;;ST BAULD;;
FÉVRIER 2016;38001;Abrets en Dauphiné (Les);38001;Abrets (Les);;;LES ABRETS EN DAUPHINE;LES ABRETS;;;;LES ABRETS;;
FÉVRIER 2016;38022;Avenières Veyrins-Thuellin (Les);38541;Veyrins-Thuellin;;;LES AVENIERES VEYRINS THUELLIN;VEYRINS THUELLIN;;;;VEYRINS THUELLIN;;
DÉCEMBRE 2016;38292;Villages du Lac de Paladru;38292;Paladru;;;VILLAGES DU LAC DE PALADRU;PALADRU;;;;PALADRU;;
JUILLET 2019;38395;Plateau-des-Petites-Roches;38435;Saint-Pancrasse;;;PLATEAU DES PETITES ROCHES;ST PANCRASSE;;;;ST PANCRASSE;;
DÉCEMBRE 2016;38456;Châtel-en-Trièves;38125;Cordéac;;;CHATEL EN TRIEVES;CORDEAC;;;;CORDEAC;;
OCTOBRE 2019;38479;Porte des Bonnevaux;38016;Arzay;;;PORTE DES BONNEVAUX;ARZAY;;;;ARZAY;;
DÉCEMBRE 2018;38560;Val-de-Virieu;38560;Virieu;;;VAL DE VIRIEU;VIRIEU;;;;VIRIEU;;
OCTOBRE 2018;39016;Arinthod;39016;Arinthod;;;ARINTHOD;;;;;ARINTHOD;;
FÉVRIER 2016;39017;Arlay;39017;Arlay;;;ARLAY;;;;;ARLAY;;
FÉVRIER 2016;39017;Arlay;39482;Saint-Germain-lès-Arlay;;;ARLAY;ST GERMAIN LES ARLAY;;;;ST GERMAIN LES ARLAY;;
DÉCEMBRE 2016;39021;Chailleuse (La);39021;Arthenas;;;LA CHAILLEUSE;ARTHENAS;;;;ARTHENAS;;
JUILLET 2019;39043;Beaufort-Orbagna;39395;Orbagna;;;BEAUFORT ORBAGNA;ORBAGNA;;;;ORBAGNA;;
DÉCEMBRE 2016;39130;Nanchez *;39130;Chaux-des-Prés;;;NANCHEZ;CHAUX DES PRES;;;;CHAUX DES PRES;;
DÉCEMBRE 2016;39130;Nanchez *;39442;Prénovel;;;NANCHEZ;PRENOVEL;;;;PRENOVEL;;
JUILLET 2019;39130;Nanchez;39130;Nanchez;;;NANCHEZ;PRENOVEL;;;;NANCHEZ;PRENOVEL;
JUILLET 2019;39130;Nanchez;39562;Villard-sur-Bienne;;;NANCHEZ;LES CROZATS;;;;VILLARD SUR BIENNE;LES CROZATS;
JUILLET 2019;39137;Saint-Hymetière-sur-Valouse;39089;Cézia;;;ST HYMETIERE SUR VALOUSE;CEZIA;;;;CEZIA;;
JUILLET 2019;39137;Saint-Hymetière-sur-Valouse;39483;Saint-Hymetière;;;ST HYMETIERE SUR VALOUSE;ST HYMETIERE;;;;ST HYMETIERE;;
DÉCEMBRE 2017;39209;Val-d'Épy;39209;Val d'Epy;;;VAL D EPY;LANERIA;;;;VAL D EPY;EPY LANERIA;
DÉCEMBRE 2017;39209;Val-d'Épy;39209;Val d'Epy;;;VAL D EPY;FLORENTIA;;;;VAL D EPY;FLORENTIA;
JUILLET 2019;39258;Grande-Rivière Château;39258;Grande-Rivière;;;GRANDE RIVIERE CHATEAU;GRANDE RIVIERE;;;;GRANDE RIVIERE;;
FÉVRIER 2016;39286;Lavans-lès-Saint-Claude *;39286;Lavans-lès-Saint-Claude;;;LAVANS LES ST CLAUDE;LIZON;;;;LAVANS LES ST CLAUDE;LIZON;
FÉVRIER 2016;39331;Mignovillard;39331;Mignovillard;;;MIGNOVILLARD;ESSAVILLY;;;;MIGNOVILLARD;ESSAVILLY;
FÉVRIER 2016;39331;Mignovillard;39331;Mignovillard;;;MIGNOVILLARD;FROIDEFONTAINE;;;;MIGNOVILLARD;FROIDEFONTAINE;
FÉVRIER 2016;39368;Hauts de Bienne;39294;Lézat;;;HAUTS DE BIENNE;LEZAT;;;;LEZAT;;
OCTOBRE 2019;39378;Trois Châteaux (Les);39378;Trois Châteaux (Les);;;LES TROIS CHATEAUX;CHAZELLES;;;;LES TROIS CHATEAUX;CHAZELLES;
OCTOBRE 2019;39378;Trois Châteaux (Les);39378;Trois Châteaux (Les);;;LES TROIS CHATEAUX;NANC LES ST AMOUR;;;;LES TROIS CHATEAUX;NANC LES ST AMOUR;
DÉCEMBRE 2016;39485;Val Suran;39303;Louvenne;;;VAL SURAN;LOUVENNE;;;;LOUVENNE;;
DÉCEMBRE 2016;39491;Coteaux du Lizon;39186;Cuttura;;;COTEAUX DU LIZON;CUTTURA;;;;CUTTURA;;
OCTOBRE 2017;39510;Septmoncel Les Molunes;39510;Septmoncel;;;SEPTMONCEL LES MOLUNES;SEPTMONCEL;;;;SEPTMONCEL;;
OCTOBRE 2017;39530;Thoirette-Coisia;39158;Coisia;;;THOIRETTE COISIA;COISIA;;;;COISIA;;
DÉCEMBRE 2016;39537;Trenal;39309;Mallerey;;;TRENAL;MALLEREY;;;;MALLEREY;;
DÉCEMBRE 2016;39537;Trenal;39537;Trenal;;;TRENAL;;;;;TRENAL;;
OCTOBRE 2018;39583;Vosbles-Valfin;39542;Valfin-sur-Valouse;;;VOSBLES-VALFIN;VALFIN SUR VALOUSE;;;;VALFIN SUR VALOUSE;;
OCTOBRE 2019;40197;Morcenx-la-Nouvelle;40107;Garrosse;;;MORCENX LA NOUVELLE;GARROSSE;;;;GARROSSE;;
OCTOBRE 2019;40197;Morcenx-la-Nouvelle;40302;Sindères;;;MORCENX LA NOUVELLE;SINDERES;;;;SINDERES;;
DÉCEMBRE 2016;41055;Valloire-sur-Cisse;41055;Chouzy-sur-Cisse;;;VALLOIRE SUR CISSE;CHOUZY SUR CISSE;;;;CHOUZY SUR CISSE;;
OCTOBRE 2019;41059;Controis-en-Sologne (Le);41092;Fougères-sur-Bièvre;;;LE CONTROIS EN SOLOGNE;FOUGERES SUR BIEVRE;;;;FOUGERES SUR BIEVRE;;
FÉVRIER 2016;41151;Montrichard Val de Cher;41151;Montrichard;;;MONTRICHARD VAL DE CHER;MONTRICHARD;;;;MONTRICHARD;;
DÉCEMBRE 2016;41173;Beauce la Romaine;41133;Membrolles;;;BEAUCE LA ROMAINE;MEMBROLLES;;;;MEMBROLLES;;
DÉCEMBRE 2016;41173;Beauce la Romaine;41183;Prénouvellon;;;BEAUCE LA ROMAINE;PRENOUVELLON;;;;PRENOUVELLON;;
DÉCEMBRE 2016;41173;Beauce la Romaine;41270;Verdes;;;BEAUCE LA ROMAINE;VERDES;;;;VERDES;;
DÉCEMBRE 2017;41248;Couëtron-au-Perche;41165;Oigny;;;COUETRON AU PERCHE;OIGNY;;;;OIGNY;;
DÉCEMBRE 2018;42245;Vêtre-sur-Anzon;42245;Saint-Julien-la-Vêtre;;;VETRE SUR ANZON;ST JULIEN LA VETRE;;;;ST JULIEN LA VETRE;;
DÉCEMBRE 2016;43221;Saint-Privat-d'Allier;43176;Saint-Didier-d'Allier;;;ST PRIVAT D ALLIER;ST DIDIER D ALLIER;;;;ST DIDIER D ALLIER;;
DÉCEMBRE 2016;44005;Chaumes-en-Retz;44005;Arthon-en-Retz;;;CHAUMES EN RETZ;LA SICAUDAIS;;;;ARTHON EN RETZ;LA SICAUDAIS;
DÉCEMBRE 2016;44029;Divatte-sur-Loire;44029;Chapelle-Basse-Mer (La);;;DIVATTE SUR LOIRE;LA CHAPELLE BASSE MER;;;;LA CHAPELLE BASSE MER;;
MAI 2018;44180;Vallons-de-l'Erdre;44180;Saint-Mars-la-Jaille;;;VALLONS DE L ERDRE;ST MARS LA JAILLE;;;;ST MARS LA JAILLE;;
MAI 2018;44180;Vallons-de-l'Erdre;49144;Freigné;;;VALLONS DE L ERDRE;FREIGNE;;;;FREIGNE;;
DÉCEMBRE 2016;45191;Malesherbois (Le);45221;Nangeville;;;LE MALESHERBOIS;NANGEVILLE;;;;NANGEVILLE;;
JUILLET 2019;46033;Porte-du-Quercy;46033;Boulvé (Le);;;PORTE DU QUERCY;LE BOULVE;;;;LE BOULVE;;
JUILLET 2019;46033;Porte-du-Quercy;46278;Saint-Matré;;;PORTE DU QUERCY;ST MATRE;;;;ST MATRE;;
JUILLET 2019;46033;Porte-du-Quercy;46300;Saux;;;PORTE DU QUERCY;SAUX;;;;SAUX;;
FÉVRIER 2016;46103;Saint-Paul - Flaugnac;46287;Saint-Paul-de-Loubressac;;;ST PAUL FLAUGNAC;ST PAUL DE LOUBRESSAC;;;;ST PAUL DE LOUBRESSAC;;
JUILLET 2019;46263;Barguelonne-en-Quercy;46285;Saint-Pantaléon;;;BARGUELONNE EN QUERCY;ST PANTALEON;;;;ST PANTALEON;;
FÉVRIER 2016;46311;Sousceyrac-en-Quercy;46150;Lamativie;;;SOUSCEYRAC EN QUERCY;LAMATIVIE;;;;LAMATIVIE;;
DÉCEMBRE 2016;48009;Peyre en Aubrac;48047;Chaze-de-Peyre (La);;;PEYRE EN AUBRAC;LA CHAZE DE PEYRE;;;;LA CHAZE DE PEYRE;;
DÉCEMBRE 2016;48009;Peyre en Aubrac;48142;Sainte-Colombe-de-Peyre;;;PEYRE EN AUBRAC;STE COLOMBE DE PEYRE;;;;STE COLOMBE DE PEYRE;;
DÉCEMBRE 2018;48038;Bel-Air-Val-d'Ance;48038;Chambon-le-Château;;;BEL AIR VAL D ANCE;CHAMBON LE CHATEAU;;;;CHAMBON LE CHATEAU;;
FÉVRIER 2016;48050;Bedoues-Cocures;48022;Bédouès;;;BEDOUES COCURES;BEDOUES;;;;BEDOUES;;
FÉVRIER 2016;48099;Bourgs sur Colagne;48049;Chirac;;;BOURGS SUR COLAGNE;CHIRAC;;;;CHIRAC;;
DÉCEMBRE 2016;48116;Pont de Montvert - Sud Mont Lozère;48066;Fraissinet-de-Lozère;;;PONT DE MONTVERT SUD MONT LOZERE;FRAISSINET DE LOZERE;;;;FRAISSINET DE LOZERE;;
OCTOBRE 2019;48127;Monts-de-Randon;48133;Saint-Amans;;;MONTS DE RANDON;ST AMANS;;;;ST AMANS;;
DÉCEMBRE 2016;48139;Saint Bonnet-Laval;48084;Laval-Atger;;;ST BONNET LAVAL;LAVAL ATGER;;;;LAVAL ATGER;;
DÉCEMBRE 2016;48139;Saint Bonnet-Laval;48139;Saint-Bonnet-de-Montauroux;;;ST BONNET LAVAL;CHAPEAUROUX;;;;ST BONNET DE MONTAUROUX;CHAPEAUROUX;
DÉCEMBRE 2016;48146;Gorges du Tarn Causses;48122;Quézac;;;GORGES DU TARN CAUSSES;QUEZAC;;;;QUEZAC;;
FÉVRIER 2016;49018;Baugé-en-Anjou;49018;Baugé-en-Anjou;;;BAUGE EN ANJOU;LE VIEIL BAUGE;;;;BAUGE EN ANJOU;LE VIEIL BAUGE;
FÉVRIER 2016;49018;Baugé-en-Anjou;49018;Baugé-en-Anjou;;;BAUGE EN ANJOU;PONTIGNE;;;;BAUGE EN ANJOU;PONTIGNE;
FÉVRIER 2016;49018;Baugé-en-Anjou;49143;Fougeré;;;BAUGE EN ANJOU;FOUGERE;;;;FOUGERE;;
FÉVRIER 2016;49021;Beaufort-en-Anjou;49021;Beaufort-en-Vallée;;;BEAUFORT EN ANJOU;BEAUFORT EN VALLEE;;;;BEAUFORT EN VALLEE;;
